session_id,provider_group,source_operator,name,activity_type,activity_raw,is_free,price_gbp,location_name,postcode,borough,latitude,longitude,start_time,end_time,days_of_week,session_count,is_online,url
SLL_Southwark_1534,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Canada Water,False,4.0,Canada Water Leisure Cent,,Southwark,,,07:00,08:00,Sunday,1,False,
SLL_Southwark_1535,London Venue,SLL_Southwark,U5 Fun Swim,Swimming,Swimming | Swimming Peckham,True,0.0,Peckham Pulse Leisure Centre,SE15 5QN,Southwark,51.474074,-0.070885,13:00,14:00,Saturday,1,False,https://southwarkleisure.co.uk/centres/peckham-pulse-leisure-centre/
SLL_Southwark_1536,London Venue,SLL_Southwark,Lane Swim - Medium,Swimming,Swimming | Swimming Canada Water,True,0.0,Canada Water Leisure Cent,,Southwark,,,12:00,13:25,Tuesday,1,False,
SLL_Southwark_1537,London Venue,SLL_Southwark,Lane Swim - Slow,Swimming,Swimming | Swimming Canada Water,True,0.0,Canada Water Leisure Cent,,Southwark,,,12:00,13:25,Tuesday,1,False,
SLL_Southwark_1538,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Camberwell,False,4.0,Camberwell Leisure Centre,SE5 8TS,Southwark,51.47422,-0.09051,19:00,20:00,Monday,1,False,https://southwarkleisure.co.uk/centres/camberwell-leisure-centre/
SLL_Southwark_1539,London Venue,SLL_Southwark,Silver Gym Session,Gym / Fitness,Gym | Gym Camberwell,False,9.7,Camberwell Leisure Centre,SE5 8TS,Southwark,51.47422,-0.09051,14:00,15:00,Thursday,1,False,https://southwarkleisure.co.uk/centres/camberwell-leisure-centre/
SLL_Southwark_1540,London Venue,SLL_Southwark,Silver Gym Session,Gym / Fitness,Gym | Gym Canada Water,False,9.7,Canada Water Leisure Cent,,Southwark,,,14:00,15:00,Thursday,1,False,
SLL_Southwark_1541,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Camberwell,False,4.0,Camberwell Leisure Centre,SE5 8TS,Southwark,51.47422,-0.09051,07:00,08:00,Monday,1,False,https://southwarkleisure.co.uk/centres/camberwell-leisure-centre/
SLL_Southwark_1542,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Camberwell,False,4.0,Camberwell Leisure Centre,SE5 8TS,Southwark,51.47422,-0.09051,07:00,08:00,Thursday,1,False,https://southwarkleisure.co.uk/centres/camberwell-leisure-centre/
SLL_Southwark_1543,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Camberwell,False,9.7,Camberwell Leisure Centre,SE5 8TS,Southwark,51.47422,-0.09051,16:00,17:00,Saturday,1,False,https://southwarkleisure.co.uk/centres/camberwell-leisure-centre/
SLL_Southwark_1544,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Peckham,False,9.7,Peckham Pulse Leisure Centre,SE15 5QN,Southwark,51.474074,-0.070885,17:00,18:00,Saturday,1,False,https://southwarkleisure.co.uk/centres/peckham-pulse-leisure-centre/
SLL_Southwark_1545,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Canada Water,False,4.0,Canada Water Leisure Cent,,Southwark,,,19:00,20:00,Wednesday,1,False,
SLL_Southwark_1546,London Venue,SLL_Southwark,Public Swim,Swimming,Swimming | Swimming Canada Water,True,0.0,Canada Water Leisure Cent,,Southwark,,,12:00,13:00,Saturday,1,False,
SLL_Southwark_1547,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Canada Water,False,4.0,Canada Water Leisure Cent,,Southwark,,,18:00,19:00,Monday,1,False,
SLL_Southwark_1548,London Venue,SLL_Southwark,Gym Session + Silver,Gym / Fitness,Gym | Gym Peckham,False,9.7,Peckham Pulse Leisure Centre,SE15 5QN,Southwark,51.474074,-0.070885,15:00,16:00,Thursday,1,False,https://southwarkleisure.co.uk/centres/peckham-pulse-leisure-centre/
SLL_Southwark_1549,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Canada Water,False,4.0,Canada Water Leisure Cent,,Southwark,,,13:00,14:00,Monday,1,False,
SLL_Southwark_1550,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Camberwell,False,4.0,Camberwell Leisure Centre,SE5 8TS,Southwark,51.47422,-0.09051,10:00,11:00,Saturday,1,False,https://southwarkleisure.co.uk/centres/camberwell-leisure-centre/
SLL_Southwark_1551,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Peckham,False,4.0,Peckham Pulse Leisure Centre,SE15 5QN,Southwark,51.474074,-0.070885,18:00,19:00,Thursday,1,False,https://southwarkleisure.co.uk/centres/peckham-pulse-leisure-centre/
SLL_Southwark_1552,London Venue,SLL_Southwark,Lap Swim - Slow,Swimming,Swimming | Swimming Peckham,False,2.5,Peckham Pulse Leisure Centre,SE15 5QN,Southwark,51.474074,-0.070885,21:00,21:45,Wednesday,1,False,https://southwarkleisure.co.uk/centres/peckham-pulse-leisure-centre/
SLL_Southwark_1553,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Surrey Docks,False,4.0,Surrey Docks Fitness & Water Sports,SE16 7SX,Southwark,51.493796,-0.039449,20:00,21:00,Tuesday,1,False,https://southwarkleisure.co.uk/centres/surrey-docks-fitness-and-watersports-centre/
SLL_Southwark_1554,London Venue,SLL_Southwark,Gymfluence – Supervised,Gym / Fitness,Gymfluence | Gymfluence Peckham,False,4.0,Peckham Pulse Leisure Centre,SE15 5QN,Southwark,51.474074,-0.070885,15:00,16:00,Thursday,1,False,https://southwarkleisure.co.uk/centres/peckham-pulse-leisure-centre/
SLL_Southwark_1555,London Venue,SLL_Southwark,Lane Swim - Fast 45 Min,Swimming,Swimming | Swimming Dulwich,False,2.5,Dulwich Leisure Centre,SE22 9HB,Southwark,51.460601,-0.071419,21:00,21:45,Monday,1,False,https://southwarkleisure.co.uk/centres/dulwich-leisure-centre/
