survey_year,borough,pct_active,pct_fairly_active,pct_inactive,respondents,weighted_base
2020-21,Barking and Dagenham,53.5,12.2,34.3,516,611.2
2020-21,Barnet,65.4,11.8,22.8,512,1207.4
2020-21,Bexley,59.4,14.5,26.1,497,779.5
2020-21,Brent,57.2,11.9,30.8,507,999.8
2020-21,Bromley,70.7,10.1,19.3,495,1055.2
2020-21,Camden,69.2,8.7,22.1,506,882.4
2020-21,City of London,48.2,13.9,38.0,312,32.6
2020-21,Croydon,63.1,12.1,24.8,503,1159.9
2020-21,Ealing,61.1,10.1,28.8,508,1037.6
2020-21,Enfield,62.5,11.8,25.7,488,1006.3
2020-21,Greenwich,66.6,7.6,25.7,495,879.8
2020-21,Hackney,69.2,6.6,24.1,484,868.0
2020-21,Hammersmith and Fulham,74.9,8.1,17.0,477,599.9
2020-21,Haringey,65.6,10.8,23.6,485,832.4
2020-21,Harrow,60.8,12.3,27.0,496,779.0
2020-21,Havering,61.4,11.4,27.2,475,807.1
2020-21,Hillingdon,56.5,10.7,32.8,490,932.4
2020-21,Hounslow,57.6,13.3,29.1,538,826.8
2020-21,Islington,73.6,9.6,16.8,525,791.6
2020-21,Kensington and Chelsea,67.9,9.6,22.5,502,504.2
2020-21,Kingston upon Thames,69.6,9.8,20.5,478,559.1
2020-21,Lambeth,71.9,9.3,18.8,526,1041.6
2020-21,Lewisham,70.7,12.3,17.0,491,952.4
2020-21,Merton,68.9,11.9,19.2,491,635.4
2020-21,Newham,58.3,10.9,30.8,503,1037.5
2020-21,Redbridge,57.7,11.1,31.2,509,916.5
2020-21,Richmond upon Thames,74.0,8.2,17.8,497,621.5
2020-21,Southwark,71.6,7.1,21.2,495,1008.2
2020-21,Sutton,61.8,9.6,28.6,532,631.5
2020-21,Tower Hamlets,59.2,12.6,28.3,486,988.2
2020-21,Waltham Forest,61.1,13.5,25.3,505,846.6
2020-21,Wandsworth,76.0,7.2,16.9,525,1057.7
2020-21,Westminster,64.6,13.8,21.6,491,862.8
