survey_year,borough,pct_active,pct_fairly_active,pct_inactive,respondents,weighted_base
2022-23,Barking and Dagenham,52.2,9.9,37.9,501,602.2
2022-23,Barnet,74.3,8.7,17.0,489,1177.7
2022-23,Bexley,64.0,9.9,26.1,493,729.7
2022-23,Brent,60.8,12.5,26.6,507,1023.9
2022-23,Bromley,67.6,10.4,22.0,498,1007.8
2022-23,Camden,74.0,8.8,17.3,509,676.5
2022-23,City of London,49.9,14.9,35.3,233,31.0
2022-23,Croydon,65.5,10.7,23.7,522,1163.7
2022-23,Ealing,68.4,6.4,25.2,525,1091.8
2022-23,Enfield,60.3,9.4,30.3,500,981.0
2022-23,Greenwich,61.8,11.7,26.5,991,872.3
2022-23,Hackney,67.0,7.3,25.6,496,787.9
2022-23,Hammersmith and Fulham,73.6,9.6,16.9,495,583.4
2022-23,Haringey,67.6,9.6,22.8,532,809.8
2022-23,Harrow,61.0,12.6,26.4,479,786.1
2022-23,Havering,63.8,10.6,25.6,480,808.7
2022-23,Hillingdon,59.4,11.5,29.1,490,902.0
2022-23,Hounslow,57.8,13.0,29.2,488,839.9
2022-23,Islington,75.1,8.2,16.7,507,700.7
2022-23,Kensington and Chelsea,69.5,8.8,21.7,490,458.5
2022-23,Kingston upon Thames,69.4,10.6,20.1,501,513.1
2022-23,Lambeth,71.3,9.4,19.3,518,1012.5
2022-23,Lewisham,69.2,9.1,21.7,507,909.9
2022-23,Merton,66.1,10.1,23.7,507,645.1
2022-23,Newham,56.2,11.0,32.8,482,998.2
2022-23,Redbridge,60.0,11.8,28.2,492,900.2
2022-23,Richmond upon Thames,76.6,9.4,14.1,522,599.9
2022-23,Southwark,71.8,9.3,18.8,514,958.9
2022-23,Sutton,73.1,10.4,16.5,461,630.1
2022-23,Tower Hamlets,65.7,8.3,26.0,504,952.3
2022-23,Waltham Forest,59.2,8.2,32.6,525,820.2
2022-23,Wandsworth,79.2,8.7,12.1,505,1024.1
2022-23,Westminster,68.7,7.0,24.3,485,681.6
