Respondent_Serial,term,halfterm,wt_gross,xSCHYR_5_2,xcluster,xstrata,xsurvey_year,Region_name,CSPNC,CSP_name,CSPNC2019,CSP_name2019,CountyCounc_2021,CountyCounc_2023,LDP_combined,LDP_proxy,STP_NC,Overall,Birthmonth_A,age_11,SCHYR_A,SCHYR_5_2,SEX_A,Urbanrural6,urbanrural2,IMDDECILE,IMD10_GR3,IMD_QUINTILE,IDACI_DECILE,IDACI10_GR3,IDACI_QUINTILE,CommNeed10,CommNeed10_GR3,Absence_Overall_GR4,Absence_Persistent_GR6,Daily_mile,ESL_GR10,ESL_GR5,Exclusions_Fixed_GR5,Exclusions_Permanent_GR4,FSM_elig_PC_GR6,FSM_take_PC_GR6,GypEth_GR5,Meetstandards_GR10,Meetstandards_GR4,ofstedrating,PrimaryCount_GR5,Progress8_GR,PupilCount_GR18,PupilTeacherRatio_GR5,Schoolestab,schoolreligion2,schoolreligion4,schoolreligion6,schoolselect2,Schoolsex2,Schoolsex3,SecondaryCount_GR5,PLLIKESP_A,PLLIKESP_A_gr,PLLIKESP_A_gr2,PLLIKEAC2_A,PLLIKEAC2_A_gr,PLLIKEAC2_A_gr2,PLEASY_A,PLEASY_A_gr2,SWIMLK_A,SWIMLK_A_gr2,SWIMLV_A_gr2,WELLHP4_A,TRAVEL_A1,TRAVEL_A2,TRAVEL_A3,TRAVEL_A4,TRAVEL_A5,TRAVEL_A6,WEEKSP1_A01,WEEKSP1_A02,WEEKSP1_A03,WEEKSP1_A04,WEEKSP1_A05,WEEKSP1_A06,WEEKSP1_A07,WEEKSP1_A08,WEEKSP1_A09,WEEKSP1_A12,WEEKAC1_A01,WEEKAC1_A02,WEEKAC1_A03,WEEKAC1_A04,WEEKAC1_A05,WEEKAC1_A06,WEEKAC1_A07,WEEKAC1_A08,WEEKAC1_A09,WEEKAC1_A10,WEEKAC1_A11,WEEKAC1_A12
1031907,3,6,86.0097666826659,1,360859,10235,6,9,35,35,47,47,-96,-96,0,0,36,1,3,7,2,1,1,2,1,3,1,2,2,1,1,1,1,4,6,1,1,1,1,1,5,3,1,10,4,2,3,-1,3,3,1,2,4,6,1,1,1,1,1,1,1,2,1,2,2,2,5,99,99,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-92,0,0
1031909,3,6,89.2028926792266,1,360859,10235,6,9,35,35,47,47,-96,-96,0,0,36,1,2,7,2,1,2,2,1,3,1,2,2,1,1,1,1,4,6,1,1,1,1,1,5,3,1,10,4,2,3,-1,3,3,1,2,4,6,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,-92,0,0
1031910,3,6,86.0097666826659,1,360859,10235,6,9,35,35,47,47,-96,-96,0,0,36,1,2,7,2,1,1,2,1,3,1,2,2,1,1,1,1,4,6,1,1,1,1,1,5,3,1,10,4,2,3,-1,3,3,1,2,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-92,0,0
1031911,3,6,86.0097666826659,1,360859,10235,6,9,35,35,47,47,-96,-96,0,0,36,1,1,7,2,1,1,2,1,3,1,2,2,1,1,1,1,4,6,1,1,1,1,1,5,3,1,10,4,2,3,-1,3,3,1,2,4,6,1,1,1,1,2,1,2,5,-99,-99,3,99,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,-92,0,0
1031912,3,6,86.0097666826659,1,360859,10235,6,9,35,35,47,47,-96,-96,0,0,36,1,1,7,2,1,1,2,1,3,1,2,2,1,1,1,1,4,6,1,1,1,1,1,5,3,1,10,4,2,3,-1,3,3,1,2,4,6,1,1,1,1,1,1,1,5,-99,-99,3,99,1,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-92,0,0
1031913,3,6,86.0097666826659,1,360859,10235,6,9,35,35,47,47,-96,-96,0,0,36,1,1,7,2,1,1,2,1,3,1,2,2,1,1,1,1,4,6,1,1,1,1,1,5,3,1,10,4,2,3,-1,3,3,1,2,4,6,1,1,1,1,5,-99,-99,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,-92,1,0
1031914,3,6,86.0097666826659,1,360859,10235,6,9,35,35,47,47,-96,-96,0,0,36,1,3,7,2,1,1,2,1,3,1,2,2,1,1,1,1,4,6,1,1,1,1,1,5,3,1,10,4,2,3,-1,3,3,1,2,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,-92,0,0
1031915,3,6,89.2028926792266,1,360859,10235,6,9,35,35,47,47,-96,-96,0,0,36,1,2,7,2,1,2,2,1,3,1,2,2,1,1,1,1,4,6,1,1,1,1,1,5,3,1,10,4,2,3,-1,3,3,1,2,4,6,1,1,1,1,1,1,1,1,1,1,3,99,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,-92,0,0
1031916,3,6,86.0097666826659,1,360859,10235,6,9,35,35,47,47,-96,-96,0,0,36,1,4,7,2,1,1,2,1,3,1,2,2,1,1,1,1,4,6,1,1,1,1,1,5,3,1,10,4,2,3,-1,3,3,1,2,4,6,1,1,1,1,1,1,1,1,1,1,1,1,5,99,99,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-92,0,0
1031917,3,6,89.2028926792266,1,360859,10235,6,9,35,35,47,47,-96,-96,0,0,36,1,1,7,2,1,2,2,1,3,1,2,2,1,1,1,1,4,6,1,1,1,1,1,5,3,1,10,4,2,3,-1,3,3,1,2,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-92,0,0
1031918,3,6,89.2028926792266,1,360859,10235,6,9,35,35,47,47,-96,-96,0,0,36,1,3,7,2,1,2,2,1,3,1,2,2,1,1,1,1,4,6,1,1,1,1,1,5,3,1,10,4,2,3,-1,3,3,1,2,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,-92,1,0
1031920,3,6,89.2028926792266,1,360859,10235,6,9,35,35,47,47,-96,-96,0,0,36,1,2,7,2,1,2,2,1,3,1,2,2,1,1,1,1,4,6,1,1,1,1,1,5,3,1,10,4,2,3,-1,3,3,1,2,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,-92,1,0
1031921,3,6,89.2028926792266,1,360859,10235,6,9,35,35,47,47,-96,-96,0,0,36,1,4,7,2,1,2,2,1,3,1,2,2,1,1,1,1,4,6,1,1,1,1,1,5,3,1,10,4,2,3,-1,3,3,1,2,4,6,1,1,1,1,5,-99,-99,1,1,1,2,2,1,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,1,0
1018655,2,4,233.918846843912,1,367518,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,3,6,1,1,1,1,1,1,1,1,2,1,1,1,1,4,6,2,1,1,3,1,5,4,1,3,1,2,4,-1,4,3,1,2,4,6,1,1,1,1,1,1,1,2,1,2,1,1,5,99,99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,-92,0,0
1018469,2,4,214.216227441759,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,2,7,2,1,2,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,-92,1,0
1018471,2,4,214.216227441759,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,2,7,2,1,2,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-92,0,0
1018473,2,4,214.216227441759,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,1,7,2,1,2,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-92,0,0
1018474,2,4,214.216227441759,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,1,7,2,1,2,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,99,5,99,99,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,-92,0,0
1018475,2,4,214.216227441759,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,4,6,2,1,2,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-92,0,0
1018476,2,4,206.548089375495,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,4,6,2,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,-92,0,0
1018477,2,4,214.216227441759,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,2,7,2,1,2,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,-92,0,0
1018478,2,4,214.216227441759,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,2,7,2,1,2,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,-92,0,0
1018480,2,4,214.216227441759,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,4,6,2,1,2,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,3,2,2,2,1,2,2,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,-92,0,0
1018483,2,4,214.216227441759,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,4,6,2,1,2,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,-92,0,0
1018484,2,4,214.216227441759,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,1,7,2,1,2,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-92,0,0
1018485,2,4,214.216227441759,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,2,7,2,1,2,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,4,2,2,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,-92,0,0
1018488,2,4,206.548089375495,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,3,6,2,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-92,0,0
1018489,2,4,214.216227441759,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,2,7,2,1,2,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-92,0,0
1018494,2,4,214.216227441759,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,2,7,2,1,2,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,99,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-92,0,0
1018496,2,4,206.548089375495,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,2,7,2,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,-92,1,0
1018534,2,4,206.548089375495,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,1,7,2,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,5,99,99,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-92,0,0
1018540,2,4,214.216227441759,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,2,7,2,1,2,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,-92,1,0
1018542,2,4,214.216227441759,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,1,7,2,1,2,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,3,2,2,1,1,1,3,99,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,-92,0,0
1018549,2,4,214.216227441759,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,4,6,2,1,2,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,-92,1,0
1018555,2,4,206.548089375495,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,4,6,2,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-92,0,0
1018556,2,4,206.548089375495,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,1,7,2,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,2,1,2,5,-99,-99,1,1,2,1,2,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,-92,1,0
1018567,2,4,214.216227441759,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,4,6,2,1,2,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,3,2,2,5,-99,-99,3,99,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,-92,0,0
1018568,2,4,214.216227441759,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,4,6,2,1,2,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,-92,1,0
1018569,2,4,214.216227441759,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,2,7,2,1,2,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-92,0,0
1018571,2,4,206.548089375495,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,3,7,2,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-92,0,0
1018579,2,4,214.216227441759,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,2,7,2,1,2,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,99,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-92,0,0
1020470,2,4,206.548089375495,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,3,7,2,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,1,1,1,5,-99,-99,2,2,5,99,99,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-92,0,0
1020481,2,4,206.548089375495,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,3,7,2,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,-92,0,0
1020483,2,4,206.548089375495,1,361788,13317,6,9,44,44,47,47,-96,-96,0,0,42,1,1,6,2,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,2,1,4,4,1,7,3,2,2,-1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-92,0,0
1019749,2,4,16.7756795067643,1,360210,10373,6,1,1,1,1,1,-96,-96,0,0,25,1,2,6,1,1,2,4,2,6,2,3,3,1,2,1,1,4,5,1,1,1,2,2,3,2,1,-1,-1,2,4,-1,4,3,1,2,4,6,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,-92,0,0
1019753,2,4,16.0840621763114,1,360210,10373,6,1,1,1,1,1,-96,-96,0,0,25,1,1,7,2,1,1,4,2,6,2,3,3,1,2,1,1,4,5,1,1,1,2,2,3,2,1,-1,-1,2,4,-1,4,3,1,2,4,6,1,1,1,1,2,1,2,2,1,2,2,2,2,1,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,-92,0,0
