survey_year,borough,pct_active,pct_fairly_active,pct_inactive,respondents,weighted_base,source_file
2016-17,Barking and Dagenham,49.230649219654936,16.065856335577028,34.70349444476804,958.0,664.4182284189633,shannon
2016-17,Barnet,56.77808677044345,12.280309911112578,30.941603318443967,997.0,1324.6097997891995,shannon
2016-17,Bexley,56.7150839135566,17.347982331538788,25.936933754904608,498.0,869.8332704516226,shannon
2016-17,Brent,55.85979235208863,11.182239032562997,32.95796861534839,489.0,1142.779104632606,shannon
2016-17,Bromley,69.01634819528847,11.295236519855738,19.68841528485578,492.0,1137.3217071084846,shannon
2016-17,Camden,72.0925764613712,12.393416219197023,15.514007319431784,492.0,890.6687233524303,shannon
2016-17,City of London,68.43219560165367,14.591004360439822,16.976800037906518,249.0,36.58802525999149,shannon
2016-17,Croydon,60.65977875184606,14.522207968749568,24.818013279404365,501.0,1261.5880285431776,shannon
2016-17,Ealing,53.84024479799595,15.127906406638653,31.031848795365374,492.0,1123.0900037178558,shannon
2016-17,Enfield,57.51145542174213,11.839905698447582,30.648638879810285,1000.0,1118.4540644807864,shannon
2016-17,Greenwich,62.27536669045188,13.054547643887211,24.670085665660903,987.0,942.1663769733366,shannon
2016-17,Hackney,71.30209790631254,10.286429500209929,18.411472593477544,475.0,914.9936165870888,shannon
2016-17,Hammersmith and Fulham,69.83204006544078,10.581650576286474,19.586309358272747,489.0,644.1409974596531,shannon
2016-17,Haringey,64.23385075305546,12.569511607646186,23.196637639298352,992.0,963.56991392882,shannon
2016-17,Harrow,52.76382286943324,16.691097932549727,30.54507919801704,486.0,872.2896629902413,shannon
2016-17,Havering,57.329509100914855,12.578743481190433,30.09174741789472,494.0,874.1630973760894,shannon
2016-17,Hillingdon,59.83536330733836,13.7136264464055,26.451010246256143,494.0,1029.258234996952,shannon
2016-17,Hounslow,53.093027021775264,13.233061981117466,33.673910997107264,484.0,903.6198358069536,shannon
2016-17,Islington,67.61304602816215,14.335564207455931,18.05138976438193,488.0,859.1694637050091,shannon
2016-17,Kensington and Chelsea,67.98580033180035,8.592493794387881,23.421705873811767,501.0,574.1910281608227,shannon
