session_id,provider_group,source_operator,name,activity_type,activity_raw,is_free,price_gbp,location_name,postcode,borough,latitude,longitude,start_time,end_time,days_of_week,session_count,is_online,url
V_00044,Everyone Active,Everyone Active,Boxing Fitness Sun 10:30,Martial Arts,Boxing Fitness,False,11.1,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,09:30,10:15,Sunday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1807CXI10300324&Culture=en-GB
V_00045,Everyone Active,Everyone Active,Boxing Fitness Wed 20:00,Martial Arts,Boxing Fitness,False,11.1,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,19:00,19:45,Wednesday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1803CXI20000325&Culture=en-GB
V_00357,Everyone Active,Everyone Active,Reform Fitcore Fri 07:00,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,06:00,06:45,Friday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1805CRF07000325&Culture=en-GB
V_00358,Everyone Active,Everyone Active,Reform Fitcore Fri 12:00,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,11:00,11:45,Friday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1805CRF12000325&Culture=en-GB
V_00359,Everyone Active,Everyone Active,Reform Fitcore Fri 18:00,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,17:00,17:45,Friday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1805CRF18000325&Culture=en-GB
V_00360,Everyone Active,Everyone Active,Reform Fitcore Fri 19:00,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,18:00,18:45,Friday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1805CRF19000325&Culture=en-GB
V_00361,Everyone Active,Everyone Active,Reform Fitcore Mon 07:00,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,06:00,06:45,Monday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1801CRF07000325&Culture=en-GB
V_00362,Everyone Active,Everyone Active,Reform Fitcore Mon 11:30,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,10:30,11:15,Monday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1801CRF11300325&Culture=en-GB
V_00363,Everyone Active,Everyone Active,Reform Fitcore Mon 17:00,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,16:00,16:45,Monday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1801CRF17000225&Culture=en-GB
V_00364,Everyone Active,Everyone Active,Reform Fitcore Mon 19:15,Group Exercise,Group Exercise,False,18.0,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,18:15,19:00,Monday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1801CRF19150325&Culture=en-GB
