survey_year,borough,demographic_group,category,pct_active,pct_fairly_active,pct_inactive,respondents,weighted_base,suppress
2020-21,London,Age9,16-24,65.5,10.4,24.1,1395,3652.0,False
2020-21,London,Age9,25-34,69.3,10.8,19.9,3111,6150.5,False
2020-21,London,Age9,35-44,65.6,11.0,23.4,3271,5624.6,False
2020-21,London,Age9,45-54,64.9,10.0,25.1,2802,4415.0,False
2020-21,London,Age9,55-64,65.7,12.0,22.2,2433,3453.7,False
2020-21,London,Age9,65-74,64.6,9.5,25.8,1972,2357.7,False
2020-21,London,Age9,75-84,52.0,10.2,37.7,995,1580.8,False
2020-21,London,Age9,85+,26.9,10.9,62.1,226,315.4,False
2020-21,Barking and Dagenham,Age9,16-24,65.3,14.7,20.0,64,102.6,False
2020-21,Barking and Dagenham,Age9,25-34,60.4,8.3,31.2,80,105.3,False
2020-21,Barking and Dagenham,Age9,35-44,44.7,11.6,43.7,126,157.2,False
2020-21,Barking and Dagenham,Age9,45-54,62.4,7.2,30.4,97,110.9,False
2020-21,Barking and Dagenham,Age9,55-64,40.7,23.4,35.9,65,61.7,False
2020-21,Barking and Dagenham,Age9,65-74,49.2,16.5,34.3,48,35.0,False
2020-21,Barking and Dagenham,Age9,75-84,31.7,9.1,59.2,23,25.6,True
2020-21,Barking and Dagenham,Age9,85+,27.3,21.3,51.4,7,5.9,True
2020-21,Barnet,Age9,16-24,82.5,9.8,7.7,45,161.6,False
2020-21,Barnet,Age9,25-34,52.1,12.8,35.1,89,235.0,False
2020-21,Barnet,Age9,35-44,59.1,12.9,28.0,117,260.4,False
2020-21,Barnet,Age9,45-54,67.6,8.2,24.2,72,175.3,False
2020-21,Barnet,Age9,55-64,78.0,13.3,8.7,80,154.0,False
2020-21,Barnet,Age9,65-74,68.3,12.7,19.0,63,110.7,False
2020-21,Barnet,Age9,75-84,62.6,13.9,23.4,33,85.1,False
2020-21,Barnet,Age9,85+,41.0,10.8,48.2,11,21.1,True
2020-21,Bexley,Age9,16-24,57.9,15.2,26.9,31,77.5,False
2020-21,Bexley,Age9,25-34,62.8,19.5,17.7,73,139.5,False
2020-21,Bexley,Age9,35-44,59.8,15.7,24.4,93,140.3,False
2020-21,Bexley,Age9,45-54,64.6,12.7,22.7,82,137.8,False
2020-21,Bexley,Age9,55-64,57.8,13.6,28.6,90,112.5,False
2020-21,Bexley,Age9,65-74,57.2,13.5,29.3,66,75.0,False
2020-21,Bexley,Age9,75-84,54.3,10.6,35.1,43,72.1,False
2020-21,Bexley,Age9,85+,28.6,6.7,64.7,13,16.2,True
2020-21,Brent,Age9,16-24,56.6,18.8,24.5,60,186.3,False
2020-21,Brent,Age9,25-34,61.2,14.2,24.5,91,228.6,False
2020-21,Brent,Age9,35-44,60.3,9.9,29.8,106,196.5,False
2020-21,Brent,Age9,45-54,62.3,7.3,30.4,71,128.9,False
2020-21,Brent,Age9,55-64,59.2,2.9,37.9,67,95.3,False
2020-21,Brent,Age9,65-74,50.2,12.9,37.0,70,91.4,False
2020-21,Brent,Age9,75-84,34.6,8.9,56.6,24,46.8,True
2020-21,Brent,Age9,85+,26.8,12.3,60.8,13,15.5,True
2020-21,Bromley,Age9,16-24,62.3,23.1,14.6,19,75.0,True
2020-21,Bromley,Age9,25-34,85.8,5.1,9.2,49,121.1,False
2020-21,Bromley,Age9,35-44,69.1,13.2,17.6,79,162.4,False
2020-21,Bromley,Age9,45-54,73.6,9.6,16.8,99,234.8,False
2020-21,Bromley,Age9,55-64,71.5,13.6,14.9,77,163.3,False
2020-21,Bromley,Age9,65-74,67.3,4.3,28.4,96,152.3,False
2020-21,Bromley,Age9,75-84,67.2,6.7,26.1,60,115.6,False
2020-21,Bromley,Age9,85+,9.2,14.4,76.4,11,18.0,True
2020-21,Camden,Age9,16-24,67.5,7.0,25.5,68,186.7,False
2020-21,Camden,Age9,25-34,79.9,4.2,15.8,112,222.4,False
2020-21,Camden,Age9,35-44,62.6,9.0,28.4,81,126.7,False
2020-21,Camden,Age9,45-54,58.5,12.5,29.0,81,117.0,False
2020-21,Camden,Age9,55-64,73.4,15.8,10.8,65,96.2,False
2020-21,Camden,Age9,65-74,82.9,5.1,12.0,58,71.8,False
2020-21,Camden,Age9,75-84,45.8,17.4,36.8,32,51.7,False
2020-21,Camden,Age9,85+,59.4,0.0,40.6,6,7.6,True
2020-21,City of London,Age9,16-24,58.4,20.9,20.7,33,5.1,False
2020-21,City of London,Age9,25-34,57.5,14.7,27.8,67,8.4,False
