session_id,provider_group,source_operator,name,activity_type,activity_raw,borough,location_name,street_address,postcode,latitude,longitude,start_time,end_time,days_of_week,is_free,price_gbp,session_count,is_online,url,first_session_id,source_file
V_00176,Everyone Active,Everyone Active,Lane Swim Med Sat 08:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,07:00,08:00,Saturday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1806WS4MM080075&Culture=en-GB,EA_00000000001535406322,Person2_VenueActivity_London.csv
V_00177,Everyone Active,Everyone Active,Lane Swim Med Sun 08:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,07:00,08:00,Sunday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1807WS4MM080075&Culture=en-GB,EA_00000000001535406478,Person2_VenueActivity_London.csv
V_00178,Everyone Active,Everyone Active,Lane Swim Med Sun 19:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,18:00,19:00,Sunday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1807WS4MM190075&Culture=en-GB,EA_00000000001535406529,Person2_VenueActivity_London.csv
V_00179,Everyone Active,Everyone Active,Lane Swim Med Thu 06:30,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,05:30,06:30,Thursday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1804WS4MM063075&Culture=en-GB,EA_00000000001535405957,Person2_VenueActivity_London.csv
V_00180,Everyone Active,Everyone Active,Lane Swim Med Tue 06:30,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,05:30,06:30,Tuesday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1802WS4MM063075&Culture=en-GB,EA_00000000001535404812,Person2_VenueActivity_London.csv
V_00181,Everyone Active,Everyone Active,Lane Swim Med Tue 09:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,08:00,09:00,Tuesday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1802WS4MM090075&Culture=en-GB,EA_00000000001535404864,Person2_VenueActivity_London.csv
V_00182,Everyone Active,Everyone Active,Lane Swim Med Wed 06:30,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,05:30,06:30,Wednesday,False,4.05,3,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1803WS4MM063075&Culture=en-GB,EA_00000000001535405436,Person2_VenueActivity_London.csv
V_00183,Everyone Active,Everyone Active,Lane Swim Med Wed 12:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,11:00,12:00,Wednesday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1803WS4MM120075&Culture=en-GB,EA_00000000001535405487,Person2_VenueActivity_London.csv
V_00184,Everyone Active,Everyone Active,Lane Swim Med Wed 18:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,17:00,18:00,Wednesday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1803WS4MM180075&Culture=en-GB,EA_00000000001535405540,Person2_VenueActivity_London.csv
V_00185,Everyone Active,Everyone Active,Lane Swim Med Wed 19:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,18:00,19:00,Wednesday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1803WS4MM190075&Culture=en-GB,EA_00000000001535405592,Person2_VenueActivity_London.csv
V_00186,Everyone Active,Everyone Active,Lane Swim Slow Fri 06:30,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,05:30,06:30,Friday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1805WS4SM063075&Culture=en-GB,EA_00000000001535406165,Person2_VenueActivity_London.csv
V_00187,Everyone Active,Everyone Active,Lane Swim Slow Fri 12:00,Swimming,Swimming,Barking and Dagenham,Abbey Leisure Centre,Bobby Moore Way,IG11 7LX,51.534997,0.0760014,11:00,12:00,Friday,False,4.05,2,,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1805WS4SM120075&Culture=en-GB,EA_00000000001535406217,Person2_VenueActivity_London.csv
