session_id,provider_group,source_operator,name,activity_type,activity_raw,is_free,price_gbp,location_name,postcode,borough,latitude,longitude,start_time,end_time,days_of_week,session_count,is_online,url
TH_18,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Boxfit,Martial Arts,John Orwell Group Ex,False,16.65,John Orwell Sports Centre,E1W 2QD,Tower Hamlets,51.50487234184735,-0.0614756998345731,18:30,19:30,Friday,2,False,https://be-well.org.uk/centres/john-orwell-sports-centre/
TH_19,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Boxfit,Martial Arts,Mile End Group Ex,False,16.65,Mile End Park Leisure Centre,E3 4HL,Tower Hamlets,51.51953920090171,-0.0322499306855374,18:00,19:00,Tuesday,4,False,https://be-well.org.uk/centres/mile-end-leisure-centre-and-stadium/
TH_20,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Boxfit,Martial Arts,Poplar Group Ex,False,16.65, Poplar Baths Leisure Centre and Gym,E14 0ED,Tower Hamlets,51.511092905004745,-0.0139868817320598,18:45,19:45,Tuesday,1,False,https://be-well.org.uk/centres/poplar-baths-leisure-centre-and-gym/
TH_21,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Boxfit,Martial Arts,York Hall Group Ex,False,16.65, York Hall Leisure Centre,E2 9PJ,Tower Hamlets,51.52995217963927,-0.0558973331840584,18:30,19:30,Thursday,1,False,https://be-well.org.uk/centres/york-hall-leisure-centre/
TH_22,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Cardio - Junior,Other / Unspecified,Mile End Group Ex,False,16.65,Mile End Park Leisure Centre,E3 4HL,Tower Hamlets,51.51953920090171,-0.0322499306855374,17:00,17:30,Friday,1,False,https://be-well.org.uk/centres/mile-end-leisure-centre-and-stadium/
TH_23,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Circuit Training,Gym / Fitness,Mile End Group Ex,False,16.65,Mile End Park Leisure Centre,E3 4HL,Tower Hamlets,51.51953920090171,-0.0322499306855374,18:00,19:00,Wednesday,2,False,https://be-well.org.uk/centres/mile-end-leisure-centre-and-stadium/
TH_24,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Circuit Training,Gym / Fitness,York Hall Group Ex,False,16.65, York Hall Leisure Centre,E2 9PJ,Tower Hamlets,51.52995217963927,-0.0558973331840584,19:25,20:25,Monday,1,False,https://be-well.org.uk/centres/york-hall-leisure-centre/
TH_25,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Conditioning - Junior,Gym / Fitness,Mile End Group Ex,False,16.65,Mile End Park Leisure Centre,E3 4HL,Tower Hamlets,51.51953920090171,-0.0322499306855374,17:00,17:30,Wednesday,1,False,https://be-well.org.uk/centres/mile-end-leisure-centre-and-stadium/
TH_26,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Core Conditioning,Gym / Fitness,Mile End Group Ex,False,16.65,Mile End Park Leisure Centre,E3 4HL,Tower Hamlets,51.51953920090171,-0.0322499306855374,10:00,10:45,Wednesday,1,False,https://be-well.org.uk/centres/mile-end-leisure-centre-and-stadium/
TH_27,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Core Conditioning,Gym / Fitness,Poplar Group Ex,False,16.65, Poplar Baths Leisure Centre and Gym,E14 0ED,Tower Hamlets,51.511092905004745,-0.0139868817320598,10:15,11:00,Thursday,1,False,https://be-well.org.uk/centres/poplar-baths-leisure-centre-and-gym/
TH_28,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Dance Fitness,Dance,Mile End Group Ex,False,16.65,Mile End Park Leisure Centre,E3 4HL,Tower Hamlets,51.51953920090171,-0.0322499306855374,10:00,11:00,Sunday,2,False,https://be-well.org.uk/centres/mile-end-leisure-centre-and-stadium/
