name,activity_type,venue,address,town,postcode,latitude,longitude,provider
Family Swimming Tue 14:30,,Hartham Leisure Centre,Hartham Lane,Hartham Common,SG14 1QR,51.79881,-0.07869,Everyone Active
Reform Fitcore Tue 09:15,,Hartham Leisure Centre,Hartham Lane,Hartham Common,SG14 1QR,51.79881,-0.07869,Everyone Active
Cardio Eqmt Thu 14:30,,Hartham Leisure Centre,Hartham Lane,Hartham Common,SG14 1QR,51.79881,-0.07869,Everyone Active
Public Swimming Tue 07:30,,Hartham Leisure Centre,Hartham Lane,Hartham Common,SG14 1QR,51.79881,-0.07869,Everyone Active
Vinyasa Yoga Tue 19:15,,Hartham Leisure Centre,Hartham Lane,Hartham Common,SG14 1QR,51.79881,-0.07869,Everyone Active
Vir The Trip Fri 06:30,,Hartham Leisure Centre,Hartham Lane,Hartham Common,SG14 1QR,51.79881,-0.07869,Everyone Active
Family Swimming Fri 11:30,,Hartham Leisure Centre,Hartham Lane,Hartham Common,SG14 1QR,51.79881,-0.07869,Everyone Active
Lane Swim Med Fri 06:30,,Hartham Leisure Centre,Hartham Lane,Hartham Common,SG14 1QR,51.79881,-0.07869,Everyone Active
Public Swimming Fri 20:00,,Hartham Leisure Centre,Hartham Lane,Hartham Common,SG14 1QR,51.79881,-0.07869,Everyone Active
Gp Refer Wed 11:30,,Hartham Leisure Centre,Hartham Lane,Hartham Common,SG14 1QR,51.79881,-0.07869,Everyone Active
Lane Swim Med Fri 15:00,,Hartham Leisure Centre,Hartham Lane,Hartham Common,SG14 1QR,51.79881,-0.07869,Everyone Active
Lane Swim Fast Fri 07:30,,Hartham Leisure Centre,Hartham Lane,Hartham Common,SG14 1QR,51.79881,-0.07869,Everyone Active
Lane Swim Slow Fri 12:30,,Hartham Leisure Centre,Hartham Lane,Hartham Common,SG14 1QR,51.79881,-0.07869,Everyone Active
Soft Play Event Fri 12:00,,Hartham Leisure Centre,Hartham Lane,Hartham Common,SG14 1QR,51.79881,-0.07869,Everyone Active
Lane Swim Fast Fri 18:00,,Hartham Leisure Centre,Hartham Lane,Hartham Common,SG14 1QR,51.79881,-0.07869,Everyone Active
Parent & Junior Thu 06:00,,Hartham Leisure Centre,Hartham Lane,Hartham Common,SG14 1QR,51.79881,-0.07869,Everyone Active
Lane Swim Slow Fri 19:00,,Hartham Leisure Centre,Hartham Lane,Hartham Common,SG14 1QR,51.79881,-0.07869,Everyone Active
Lane Swim Fast Fri 19:00,,Hartham Leisure Centre,Hartham Lane,Hartham Common,SG14 1QR,51.79881,-0.07869,Everyone Active
Parent & Junior Thu 10:00,,Hartham Leisure Centre,Hartham Lane,Hartham Common,SG14 1QR,51.79881,-0.07869,Everyone Active
Lane Swim Slow Fri 20:00,,Hartham Leisure Centre,Hartham Lane,Hartham Common,SG14 1QR,51.79881,-0.07869,Everyone Active
Lane Swim Fast Fri 20:00,,Hartham Leisure Centre,Hartham Lane,Hartham Common,SG14 1QR,51.79881,-0.07869,Everyone Active
Parent & Junior Thu 20:00,,Hartham Leisure Centre,Hartham Lane,Hartham Common,SG14 1QR,51.79881,-0.07869,Everyone Active
Lane Swim Med Fri 07:30,,Hartham Leisure Centre,Hartham Lane,Hartham Common,SG14 1QR,51.79881,-0.07869,Everyone Active
Adult Swimming Fri 10:00,,Wythenshawe Forum Leisure Centre,Simons Way,Wythenshawe,M22 5RX,53.380323,-2.265142,Everyone Active
Public Swimming Fri 15:00,,Wythenshawe Forum Leisure Centre,Simons Way,Wythenshawe,M22 5RX,53.380323,-2.265142,Everyone Active
No Strings(beg) Wed 12:00,,Wythenshawe Forum Leisure Centre,Simons Way,Wythenshawe,M22 5RX,53.380323,-2.265142,Everyone Active
Lane Swim Fast Fri 07:30,,Wythenshawe Forum Leisure Centre,Simons Way,Wythenshawe,M22 5RX,53.380323,-2.265142,Everyone Active
Lane Swim Med Fri 12:00,,Wythenshawe Forum Leisure Centre,Simons Way,Wythenshawe,M22 5RX,53.380323,-2.265142,Everyone Active
U5 Fun Swimming Fri 08:00,,Wythenshawe Forum Leisure Centre,Simons Way,Wythenshawe,M22 5RX,53.380323,-2.265142,Everyone Active
Parent & Junior Sat 09:00,,Wythenshawe Forum Leisure Centre,Simons Way,Wythenshawe,M22 5RX,53.380323,-2.265142,Everyone Active
Public Swimming Sat 11:00,,Wythenshawe Forum Leisure Centre,Simons Way,Wythenshawe,M22 5RX,53.380323,-2.265142,Everyone Active
Parent & Junior Sat 13:00,,Wythenshawe Forum Leisure Centre,Simons Way,Wythenshawe,M22 5RX,53.380323,-2.265142,Everyone Active
Cardio Eqmt Mon 09:00,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Lm Pilates Mon 19:00,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Group Cycle Mon 18:15,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Gym 14-15 Yrs Mon 07:30,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Pilates 50+ Mon 11:30,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Circuits Mon 09:30,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Vir Bodybalance Mon 20:15,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Aerobics 50+ Mon 09:30,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Vir BodyPump Mon 06:15,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Active Antz Mon 11:15,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Vir The Trip Mon 11:00,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Pilates 50+ Mon 10:30,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Vir The Trip Mon 17:00,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Pilates 50+ Mon 10:35,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Badminton Snr Mon 09:00,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Premium Lane Mon 11:45,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Vir R P M Mon 09:30,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Public Swimming Tue 11:00,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Lane Swim Fast Wed 08:45,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Lane Swim Fast Wed 13:45,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
Lane Swim Fast Tue 12:45,,K2 Crawley,Pease Pottage Hill,Crawley,RH11 9BQ,51.097296,-0.191272,Everyone Active
