survey_year,borough,demographic_group,category,pct_active,pct_fairly_active,pct_inactive,respondents,weighted_base,suppress
2021-22,London,Age9,16-24,67.6,9.7,22.7,1309,3670.6,False
2021-22,London,Age9,25-34,71.2,10.2,18.6,3091,6171.9,False
2021-22,London,Age9,35-44,66.6,10.6,22.8,3428,5630.9,False
2021-22,London,Age9,45-54,68.1,10.5,21.4,2753,4389.6,False
2021-22,London,Age9,55-64,66.8,9.2,24.0,2482,3475.3,False
2021-22,London,Age9,65-74,66.4,10.2,23.4,1961,2346.3,False
2021-22,London,Age9,75-84,51.0,12.8,36.3,977,1512.4,False
2021-22,London,Age9,85+,32.5,13.5,54.0,245,385.0,False
2021-22,Barking and Dagenham,Age9,16-24,52.9,12.5,34.6,58,105.3,False
2021-22,Barking and Dagenham,Age9,25-34,61.2,5.4,33.4,98,125.8,False
2021-22,Barking and Dagenham,Age9,35-44,58.9,8.6,32.5,123,148.7,False
2021-22,Barking and Dagenham,Age9,45-54,64.9,6.8,28.4,80,97.6,False
2021-22,Barking and Dagenham,Age9,55-64,37.8,3.6,58.6,68,65.3,False
2021-22,Barking and Dagenham,Age9,65-74,63.3,4.9,31.8,52,30.6,False
2021-22,Barking and Dagenham,Age9,75-84,55.1,5.0,39.9,22,16.1,True
2021-22,Barking and Dagenham,Age9,85+,41.1,6.3,52.6,8,6.3,True
2021-22,Barnet,Age9,16-24,70.2,16.7,13.2,37,167.0,False
2021-22,Barnet,Age9,25-34,62.6,14.2,23.1,81,253.1,False
2021-22,Barnet,Age9,35-44,61.1,15.6,23.3,84,196.8,False
2021-22,Barnet,Age9,45-54,75.1,5.9,19.0,86,198.3,False
2021-22,Barnet,Age9,55-64,74.6,13.8,11.7,86,164.8,False
2021-22,Barnet,Age9,65-74,76.0,6.1,17.8,73,137.3,False
2021-22,Barnet,Age9,75-84,37.1,15.4,47.5,40,91.5,False
2021-22,Barnet,Age9,85+,15.2,0.0,84.8,13,26.8,True
2021-22,Bexley,Age9,16-24,73.8,5.9,20.3,29,71.1,True
2021-22,Bexley,Age9,25-34,67.7,10.1,22.3,69,125.3,False
2021-22,Bexley,Age9,35-44,69.0,13.3,17.7,105,167.7,False
2021-22,Bexley,Age9,45-54,58.7,19.8,21.5,86,142.6,False
2021-22,Bexley,Age9,55-64,60.2,6.6,33.2,87,123.9,False
2021-22,Bexley,Age9,65-74,60.0,12.9,27.1,66,67.1,False
2021-22,Bexley,Age9,75-84,58.7,4.0,37.3,29,41.4,True
2021-22,Bexley,Age9,85+,38.1,20.5,41.4,11,13.7,True
2021-22,Brent,Age9,16-24,66.2,6.8,27.0,54,158.7,False
2021-22,Brent,Age9,25-34,72.3,10.5,17.2,112,258.6,False
2021-22,Brent,Age9,35-44,66.9,8.7,24.4,114,220.6,False
2021-22,Brent,Age9,45-54,42.9,14.5,42.6,72,129.0,False
2021-22,Brent,Age9,55-64,49.4,13.5,37.1,66,115.0,False
2021-22,Brent,Age9,65-74,52.7,23.1,24.2,59,73.6,False
2021-22,Brent,Age9,75-84,37.8,18.5,43.7,19,31.3,True
2021-22,Brent,Age9,85+,0.0,0.0,100.0,7,8.2,True
2021-22,Bromley,Age9,16-24,69.1,10.6,20.2,22,100.6,True
2021-22,Bromley,Age9,25-34,77.8,11.2,11.0,62,131.9,False
2021-22,Bromley,Age9,35-44,79.4,11.9,8.7,84,184.4,False
2021-22,Bromley,Age9,45-54,85.0,4.4,10.6,79,177.6,False
2021-22,Bromley,Age9,55-64,63.9,2.4,33.7,95,182.5,False
2021-22,Bromley,Age9,65-74,77.8,8.9,13.3,97,158.0,False
2021-22,Bromley,Age9,75-84,62.0,5.2,32.8,41,83.7,False
2021-22,Bromley,Age9,85+,16.2,8.3,75.5,10,16.7,True
2021-22,Camden,Age9,16-24,68.7,1.5,29.7,44,126.7,False
2021-22,Camden,Age9,25-34,73.9,13.3,12.8,83,173.1,False
2021-22,Camden,Age9,35-44,80.6,7.5,11.9,86,149.6,False
2021-22,Camden,Age9,45-54,79.3,8.9,11.9,76,134.9,False
2021-22,Camden,Age9,55-64,64.1,10.1,25.7,84,107.5,False
2021-22,Camden,Age9,65-74,58.9,21.8,19.3,67,94.7,False
2021-22,Camden,Age9,75-84,63.9,6.1,30.0,40,80.0,False
2021-22,Camden,Age9,85+,80.7,7.0,12.3,10,22.8,True
2021-22,City of London,Age9,16-24,85.8,8.4,5.8,10,1.5,True
2021-22,City of London,Age9,25-34,52.5,29.7,17.9,52,9.1,False
2021-22,City of London,Age9,35-44,34.8,42.5,22.7,57,7.2,False
2021-22,City of London,Age9,45-54,42.8,13.7,43.5,42,6.4,False
2021-22,City of London,Age9,55-64,42.0,17.4,40.6,17,2.1,True
2021-22,City of London,Age9,65-74,28.4,2.6,69.0,29,3.0,True
2021-22,City of London,Age9,75-84,0.0,0.0,100.0,34,6.4,False
2021-22,City of London,Age9,85+,100.0,0.0,0.0,1,0.1,True
2021-22,Croydon,Age9,16-24,70.2,6.3,23.5,40,134.4,False
2021-22,Croydon,Age9,25-34,62.2,18.1,19.7,79,235.6,False
2021-22,Croydon,Age9,35-44,64.3,15.9,19.7,98,264.8,False
2021-22,Croydon,Age9,45-54,64.8,10.9,24.3,100,189.1,False
2021-22,Croydon,Age9,55-64,66.9,10.2,22.9,85,182.5,False
2021-22,Croydon,Age9,65-74,58.4,5.0,36.6,58,90.4,False
2021-22,Croydon,Age9,75-84,47.0,27.0,26.0,27,53.0,True
2021-22,Croydon,Age9,85+,20.9,0.0,79.1,8,22.1,True
2021-22,Ealing,Age9,16-24,67.9,8.5,23.6,51,201.5,False
2021-22,Ealing,Age9,25-34,73.1,8.2,18.8,75,191.4,False
2021-22,Ealing,Age9,35-44,67.6,14.9,17.5,96,189.6,False
2021-22,Ealing,Age9,45-54,59.5,16.5,24.0,84,181.7,False
2021-22,Ealing,Age9,55-64,69.2,4.7,26.1,87,121.3,False
2021-22,Ealing,Age9,65-74,70.8,8.0,21.2,52,73.5,False
2021-22,Ealing,Age9,75-84,42.1,24.6,33.3,27,54.5,True
2021-22,Ealing,Age9,85+,76.8,23.2,0.0,8,15.6,True
2021-22,Enfield,Age9,16-24,60.7,14.8,24.4,45,134.5,False
2021-22,Enfield,Age9,25-34,48.4,15.5,36.1,59,129.0,False
2021-22,Enfield,Age9,35-44,58.4,1.3,40.3,73,149.9,False
2021-22,Enfield,Age9,45-54,74.2,8.6,17.1,92,202.1,False
2021-22,Enfield,Age9,55-64,69.5,8.6,21.9,91,171.5,False
2021-22,Enfield,Age9,65-74,58.0,11.9,30.0,81,105.0,False
2021-22,Enfield,Age9,75-84,47.1,5.4,47.5,45,82.2,False
2021-22,Enfield,Age9,85+,58.6,0.0,41.4,15,18.5,True
2021-22,Greenwich,Age9,16-24,58.1,7.6,34.3,32,87.1,False
2021-22,Greenwich,Age9,25-34,66.6,14.8,18.5,99,196.1,False
2021-22,Greenwich,Age9,35-44,56.0,10.4,33.7,121,208.1,False
2021-22,Greenwich,Age9,45-54,62.4,16.0,21.6,99,160.0,False
2021-22,Greenwich,Age9,55-64,68.1,5.4,26.5,68,95.0,False
2021-22,Greenwich,Age9,65-74,65.0,11.5,23.5,47,70.7,False
2021-22,Greenwich,Age9,75-84,70.9,0.0,29.1,19,25.5,True
2021-22,Greenwich,Age9,85+,36.4,47.9,15.7,8,21.0,True
2021-22,Hackney,Age9,16-24,54.0,7.6,38.4,47,113.5,False
2021-22,Hackney,Age9,25-34,83.4,6.4,10.1,148,280.7,False
2021-22,Hackney,Age9,35-44,67.4,8.9,23.7,111,189.0,False
2021-22,Hackney,Age9,45-54,67.8,17.0,15.2,86,119.5,False
2021-22,Hackney,Age9,55-64,67.5,4.1,28.4,61,75.6,False
2021-22,Hackney,Age9,65-74,79.5,8.2,12.3,36,49.1,False
2021-22,Hackney,Age9,75-84,64.3,27.7,8.0,19,37.1,True
2021-22,Hackney,Age9,85+,0.0,28.9,71.1,3,4.5,True
2021-22,Hammersmith and Fulham,Age9,16-24,78.4,7.8,13.8,66,145.5,False
2021-22,Hammersmith and Fulham,Age9,25-34,83.3,4.8,11.9,100,117.5,False
2021-22,Hammersmith and Fulham,Age9,35-44,63.9,13.8,22.2,103,90.4,False
2021-22,Hammersmith and Fulham,Age9,45-54,75.4,3.5,21.1,91,87.8,False
2021-22,Hammersmith and Fulham,Age9,55-64,77.9,3.7,18.4,71,62.2,False
2021-22,Hammersmith and Fulham,Age9,65-74,73.6,3.2,23.2,63,44.3,False
2021-22,Hammersmith and Fulham,Age9,75-84,41.6,13.2,45.2,30,31.9,False
2021-22,Hammersmith and Fulham,Age9,85+,15.7,17.4,66.9,4,2.9,True
2021-22,Haringey,Age9,16-24,64.9,12.9,22.1,45,146.6,False
2021-22,Haringey,Age9,25-34,77.8,6.6,15.6,85,160.0,False
2021-22,Haringey,Age9,35-44,70.8,14.0,15.2,106,157.0,False
2021-22,Haringey,Age9,45-54,71.0,11.2,17.8,86,128.2,False
2021-22,Haringey,Age9,55-64,67.2,14.0,18.8,87,122.2,False
2021-22,Haringey,Age9,65-74,62.1,16.2,21.7,51,60.6,False
2021-22,Haringey,Age9,75-84,44.2,10.1,45.7,21,24.5,True
2021-22,Haringey,Age9,85+,0.0,0.0,100.0,3,6.4,True
2021-22,Harrow,Age9,16-24,69.0,9.0,22.0,30,99.3,False
2021-22,Harrow,Age9,25-34,69.5,6.4,24.1,80,145.8,False
2021-22,Harrow,Age9,35-44,67.6,6.9,25.5,114,157.5,False
2021-22,Harrow,Age9,45-54,53.9,13.2,32.9,84,123.2,False
2021-22,Harrow,Age9,55-64,66.8,9.3,23.9,84,109.0,False
2021-22,Harrow,Age9,65-74,56.0,15.5,28.5,75,76.9,False
2021-22,Harrow,Age9,75-84,52.4,10.3,37.4,33,50.8,False
2021-22,Harrow,Age9,85+,25.7,7.8,66.6,14,16.7,True
2021-22,Havering,Age9,16-24,85.7,3.5,10.7,23,61.9,True
2021-22,Havering,Age9,25-34,57.1,7.2,35.6,64,125.5,False
2021-22,Havering,Age9,35-44,64.9,10.8,24.3,114,157.0,False
2021-22,Havering,Age9,45-54,72.2,11.3,16.5,88,147.0,False
2021-22,Havering,Age9,55-64,62.3,16.0,21.7,81,111.3,False
2021-22,Havering,Age9,65-74,71.4,8.1,20.5,73,86.0,False
2021-22,Havering,Age9,75-84,31.8,11.3,56.9,56,94.6,False
2021-22,Havering,Age9,85+,6.6,27.7,65.8,9,16.4,True
2021-22,Hillingdon,Age9,16-24,65.2,5.3,29.6,41,117.2,False
2021-22,Hillingdon,Age9,25-34,71.5,6.0,22.5,59,125.2,False
2021-22,Hillingdon,Age9,35-44,61.8,11.2,27.1,105,193.8,False
2021-22,Hillingdon,Age9,45-54,67.0,6.8,26.2,76,154.4,False
2021-22,Hillingdon,Age9,55-64,74.6,4.3,21.1,106,202.0,False
2021-22,Hillingdon,Age9,65-74,46.6,18.8,34.6,63,72.4,False
2021-22,Hillingdon,Age9,75-84,58.6,22.0,19.3,24,42.8,True
2021-22,Hillingdon,Age9,85+,16.4,15.8,67.8,8,19.2,True
2021-22,Hounslow,Age9,16-24,60.5,3.3,36.2,36,79.0,False
2021-22,Hounslow,Age9,25-34,62.5,7.2,30.3,72,158.7,False
2021-22,Hounslow,Age9,35-44,60.5,4.6,34.9,125,218.2,False
2021-22,Hounslow,Age9,45-54,64.0,9.0,27.0,80,135.0,False
2021-22,Hounslow,Age9,55-64,63.4,10.7,25.9,75,96.5,False
2021-22,Hounslow,Age9,65-74,66.1,7.1,26.8,76,86.6,False
2021-22,Hounslow,Age9,75-84,36.7,24.2,39.1,26,29.6,True
2021-22,Hounslow,Age9,85+,15.4,9.6,75.0,5,6.9,True
2021-22,Islington,Age9,16-24,73.5,10.5,16.0,47,124.5,False
2021-22,Islington,Age9,25-34,76.4,11.8,11.8,140,231.2,False
2021-22,Islington,Age9,35-44,62.0,9.5,28.5,90,130.7,False
2021-22,Islington,Age9,45-54,75.7,6.3,18.0,80,125.8,False
2021-22,Islington,Age9,55-64,76.1,10.2,13.7,61,66.2,False
2021-22,Islington,Age9,65-74,67.1,21.2,11.7,64,79.5,False
2021-22,Islington,Age9,75-84,61.8,7.1,31.1,25,39.9,True
2021-22,Islington,Age9,85+,20.3,21.8,57.9,6,7.1,True
2021-22,Kensington and Chelsea,Age9,16-24,77.1,9.3,13.6,51,78.2,False
2021-22,Kensington and Chelsea,Age9,25-34,55.8,16.0,28.2,61,77.3,False
2021-22,Kensington and Chelsea,Age9,35-44,62.2,14.2,23.6,74,71.6,False
2021-22,Kensington and Chelsea,Age9,45-54,58.1,14.9,27.0,85,81.6,False
2021-22,Kensington and Chelsea,Age9,55-64,72.6,16.0,11.4,87,63.5,False
2021-22,Kensington and Chelsea,Age9,65-74,63.3,12.3,24.4,88,66.8,False
2021-22,Kensington and Chelsea,Age9,75-84,61.6,7.7,30.7,50,54.4,False
2021-22,Kensington and Chelsea,Age9,85+,42.3,8.7,49.0,12,10.8,True
2021-22,Kingston upon Thames,Age9,16-24,99.3,0.0,0.7,23,53.5,True
2021-22,Kingston upon Thames,Age9,25-34,79.4,11.4,9.2,76,100.1,False
2021-22,Kingston upon Thames,Age9,35-44,61.6,21.0,17.4,86,104.8,False
2021-22,Kingston upon Thames,Age9,45-54,71.3,11.4,17.3,104,112.2,False
2021-22,Kingston upon Thames,Age9,55-64,83.6,4.7,11.7,76,69.6,False
2021-22,Kingston upon Thames,Age9,65-74,75.1,10.0,14.9,75,64.8,False
2021-22,Kingston upon Thames,Age9,75-84,68.8,8.1,23.2,39,44.6,False
2021-22,Kingston upon Thames,Age9,85+,35.8,21.1,43.1,11,12.4,True
2021-22,Lambeth,Age9,16-24,69.6,9.6,20.8,38,98.2,False
2021-22,Lambeth,Age9,25-34,78.3,5.9,15.8,150,339.0,False
2021-22,Lambeth,Age9,35-44,63.9,8.0,28.1,107,231.4,False
2021-22,Lambeth,Age9,45-54,71.3,8.5,20.2,84,153.5,False
2021-22,Lambeth,Age9,55-64,72.5,14.5,13.0,57,89.4,False
2021-22,Lambeth,Age9,65-74,70.2,5.6,24.2,34,50.5,False
2021-22,Lambeth,Age9,75-84,29.3,38.4,32.2,20,41.5,True
2021-22,Lambeth,Age9,85+,12.6,0.0,87.4,5,8.6,True
2021-22,Lewisham,Age9,16-24,63.8,15.7,20.5,35,130.2,False
2021-22,Lewisham,Age9,25-34,78.6,9.6,11.8,116,246.7,False
2021-22,Lewisham,Age9,35-44,76.7,9.4,13.8,122,211.1,False
2021-22,Lewisham,Age9,45-54,67.0,19.1,13.9,87,135.3,False
2021-22,Lewisham,Age9,55-64,64.8,9.9,25.3,70,97.9,False
2021-22,Lewisham,Age9,65-74,71.7,4.0,24.2,57,61.3,False
2021-22,Lewisham,Age9,75-84,74.6,6.4,19.0,23,43.2,True
2021-22,Lewisham,Age9,85+,22.5,0.0,77.5,4,5.1,True
2021-22,Merton,Age9,16-24,69.1,2.4,28.6,35,80.7,False
2021-22,Merton,Age9,25-34,69.3,9.3,21.4,93,136.8,False
2021-22,Merton,Age9,35-44,69.5,8.8,21.7,126,137.1,False
2021-22,Merton,Age9,45-54,70.8,11.5,17.7,93,117.4,False
2021-22,Merton,Age9,55-64,64.8,4.2,31.0,72,67.8,False
2021-22,Merton,Age9,65-74,61.9,12.4,25.7,41,34.2,False
2021-22,Merton,Age9,75-84,39.5,14.2,46.3,32,46.5,False
2021-22,Merton,Age9,85+,44.9,0.0,55.1,2,1.4,True
2021-22,Newham,Age9,16-24,60.3,8.1,31.6,44,117.7,False
2021-22,Newham,Age9,25-34,71.8,11.8,16.5,137,332.1,False
2021-22,Newham,Age9,35-44,62.5,10.8,26.6,144,266.9,False
2021-22,Newham,Age9,45-54,58.4,11.6,30.0,77,168.2,False
2021-22,Newham,Age9,55-64,55.8,4.4,39.8,51,92.6,False
2021-22,Newham,Age9,65-74,62.6,10.0,27.4,30,44.5,False
2021-22,Newham,Age9,75-84,34.8,26.7,38.5,12,17.1,True
2021-22,Newham,Age9,85+,29.4,0.0,70.6,2,6.7,True
2021-22,Redbridge,Age9,16-24,63.6,16.6,19.9,43,148.2,False
2021-22,Redbridge,Age9,25-34,68.3,11.6,20.1,80,183.1,False
2021-22,Redbridge,Age9,35-44,61.8,6.6,31.6,128,222.5,False
