borough,ethnic_group,group_inactive,borough_overall_inactive,gap,total_respondents,n_years_pooled,reliable
Camden,White British,15.456644255912183,18.43863292929546,-2.9819886733832757,1637.0,7,True
Barnet,White British,22.513502881511272,25.524509108107168,-3.011006226595896,1929.0,7,True
Merton,White British,18.97440619129719,22.11411528699184,-3.1397090956946485,1942.0,7,True
Westminster,White Other,18.494567478263836,22.115310039960647,-3.6207425616968116,810.0,7,True
Hillingdon,White British,26.510387899533868,30.251572378482432,-3.741184478948565,1731.0,7,True
Harrow,White British,26.05817449567371,29.9306825159877,-3.8725080203139903,1163.0,7,True
Hammersmith and Fulham,White British,15.321008738013857,19.209484198500917,-3.8884754604870597,1778.0,7,True
Barking and Dagenham,White Other,33.700222834104416,37.65326753550181,-3.9530447013973955,408.0,7,True
Redbridge,White British,26.25672276529016,30.27178810648796,-4.015065341197801,1580.0,7,True
Westminster,White British,18.055401604588578,22.115310039960647,-4.059908435372069,1549.0,7,True
Greenwich,White British,21.03188540306101,25.176495818872223,-4.144610415811211,2328.0,7,True
Hammersmith and Fulham,White Other,15.02237438688216,19.209484198500917,-4.1871098116187575,797.0,7,True
Lewisham,White Other,17.007962444575348,21.2253147900762,-4.217352345500853,499.0,7,True
Hounslow,White British,25.961320825492525,30.222648794249487,-4.261327968756962,1416.0,7,True
Ealing,White Other,22.80644575859579,27.293568628626424,-4.487122870030635,619.0,7,True
Camden,White Other,13.860992960775132,18.43863292929546,-4.577639968520327,801.0,7,True
Southwark,White Other,15.61149727982574,20.43323489440168,-4.821737614575939,681.0,7,True
Ealing,White British,22.039942265544717,27.293568628626424,-5.2536263630817075,1390.0,7,True
Wandsworth,White British,10.88199422575586,16.357945529277874,-5.475951303522013,2099.0,7,True
Lewisham,White British,15.63322013062282,21.2253147900762,-5.59209465945338,1894.0,7,True
Hackney,White British,15.416334789811218,21.04941389055713,-5.633079100745912,1666.0,7,True
Waltham Forest,White British,20.62985337168245,26.357970859551177,-5.728117487868726,1842.0,7,True
Hillingdon,White Other,24.312525485754747,30.251572378482432,-5.939046892727685,339.0,7,True
Southwark,White British,14.417462921724873,20.43323489440168,-6.015771972676806,1754.0,7,True
Lambeth,White British,12.639142311349659,18.716521654868977,-6.077379343519318,2222.0,7,True
Lambeth,Mixed,12.06342206721598,18.716521654868977,-6.6530995876529975,33.0,1,False
Newham,White Other,25.573964281496078,32.453472046672765,-6.879507765176687,535.0,7,True
