borough,inactive,readiness_opportunity,readiness_ability,respondents,sessions,venues,readiness_opportunity_pct,inactive_rank,readiness_opp_rank,demand_score,s_bin,d_bin,class,d_bin_tiebreak,class_tiebreak,s_bin2,d_bin2,class_median,s_bin4,d_bin4,class_quartile,concern,concern_median,concern_quartile,stable,demand_score_shrunk,d_bin_shrunk,note,deprived_inactive,deprived_sample,equity_gap,equity_flag
Barking and Dagenham,37.65326753550181,3.831661336382511,4.090338045661172,2913.0,2535.0,3.0,70.79153340956277,100.0,3.125,51.5625,high,mid,well-served (moderate need),mid,well-served (moderate need),high,low,well-served,mid_high,mid_low,average,low,low,low,True,51.685142160828605,mid,"Flagged for review — supply looks strong, but survey data still shows high inactivity, suggesting a non-supply barrier to access.",40.71933939241519,3441.0,3.066071856913382,low gap
Barnet,25.524509108107168,3.937449580683684,4.092044254949353,2944.0,639.0,6.0,73.4362395170921,56.25,43.75,50.0,mid,mid,average,mid,average,high,low,well-served,mid_high,mid_low,average,low,low,low,True,50.839243785636015,mid,,34.78297271019183,664.0,9.25846360208466,high gap
Bexley,27.85570297181126,3.844326276385991,4.00535228971459,2464.0,475.0,16.0,71.10815690964976,71.875,6.25,39.0625,mid,low,adequately served,low,adequately served,low,low,"low need, low supply",mid_low,low,adequately served,low,low,low,True,45.48968953215597,low,,38.04190900548653,647.0,10.186206033675269,high gap
Brent,31.18117663373343,3.926899519364163,4.088565386849261,2536.0,2587.0,11.0,73.17248798410407,93.75,37.5,65.625,high,high,under-monitored,high,under-monitored,high,high,under-monitored,mid_high,high,under-monitored,mid,mid,mid,True,58.77794901247869,high,,33.44263656461443,1586.0,2.261459930881003,low gap
Bromley,22.184713591338976,4.029239600419999,4.134203826448915,2449.0,105.0,2.0,75.73099001049997,43.75,87.5,65.625,low,high,genuine desert,high,genuine desert,low,high,genuine desert,low,high,genuine desert,high,high,high,True,58.65754609465871,high,,30.276598955225992,433.0,8.091885363887016,high gap
Camden,18.43863292929546,3.944899193490512,4.099771007700039,2497.0,159.0,7.0,73.62247983726279,12.5,50.0,31.25,low,low,"low need, low supply",low,"low need, low supply",low,low,"low need, low supply",mid_low,low,adequately served,low,low,low,True,41.54215479998478,low,,21.96238796817714,1384.0,3.5237550388816814,low gap
Croydon,27.126882889295537,3.9071029469099736,4.114872479264536,2494.0,65.0,5.0,72.67757367274935,65.625,31.25,48.4375,low,mid,blind spot risk,mid,blind spot risk,low,low,"low need, low supply",low,mid_low,blind spot risk,mid,low,mid,False,50.13434337572839,mid,,30.93116921639574,1238.0,3.804286327100204,low gap
Ealing,27.293568628626424,3.8513096932128086,4.119146947895576,2509.0,3427.0,11.0,71.28274233032022,68.75,15.625,42.1875,high,low,well-served,low,well-served,high,low,well-served,high,low,well-served,low,low,low,True,46.997707798966346,low,,29.04367518806294,1311.0,1.7501065594365173,low gap
Enfield,28.378248008057074,3.85974386490195,4.057659287578581,2984.0,77.0,6.0,71.49359662254875,75.0,21.875,48.4375,low,mid,blind spot,mid,blind spot risk,low,low,"low need, low supply",low,mid_low,blind spot risk,mid,low,mid,False,49.98268751542617,low,Manually reclassified as blind spot as facilities exist but are underreported due to a known issue with the Better/GLL data feed.,35.0348204099104,1602.0,6.656572401853328,high gap
Greenwich,25.176495818872223,3.954611103385151,4.145419449115236,3455.0,137.0,7.0,73.86527758462877,53.125,56.25,54.6875,low,mid,blind spot risk,mid,blind spot risk,low,high,genuine desert,low,mid_high,blind spot risk,mid,high,mid,False,53.48751101088838,high,,35.81785072793904,1887.0,10.641354909066816,high gap
Hackney,21.04941389055713,4.02547401883345,4.1918170356435605,2539.0,328.0,8.0,75.63685047083627,28.125,84.375,56.25,mid,high,emerging desert,high,emerging desert,low,high,genuine desert,mid_low,mid_high,average,mid,high,low,False,54.05684055649112,high,,22.424746701845542,2964.0,1.3753328112884127,low gap
Hammersmith and Fulham,19.20948419850092,4.118644817390523,4.244967796445002,2476.0,106.0,3.0,77.96612043476307,18.75,100.0,59.375,low,high,genuine desert,high,genuine desert,low,high,genuine desert,low,high,genuine desert,high,high,high,True,55.58449779944196,high,,25.43132691902741,1332.0,6.221842720526489,moderate gap
Haringey,23.195860594384023,4.013822373335542,4.231452474650408,3023.0,251.0,8.0,75.34555933338855,46.875,81.25,64.0625,mid,high,emerging desert,high,emerging desert,low,high,genuine desert,mid_low,high,emerging desert,mid,high,mid,False,58.52640076126488,high,,27.859903691962888,2147.0,4.664043097578865,moderate gap
Harrow,29.9306825159877,3.904628544307856,4.074899642542939,2456.0,1571.0,5.0,72.61571360769639,81.25,25.0,53.125,mid,mid,average,mid,average,high,high,under-monitored,mid_high,mid_high,average,low,mid,low,False,52.47100298785427,mid,,30.1880265309303,257.0,0.25734401494259984,low gap
